{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 8.7500450397028953, 'meanValidationLoss': 8.7738523540281381, 'meanLosses': 8.7619486968655167}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 6.1707650630399531, 'meanValidationLoss': 6.197171192349515, 'meanLosses': 6.183968127694734}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 8.6983577357382433, 'meanValidationLoss': 8.7203271316710804, 'meanLosses': 8.7093424337046628}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 6.1191984034405396, 'meanValidationLoss': 6.1450074918376991, 'meanLosses': 6.1321029476391189}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 9.021093303203557, 'meanValidationLoss': 9.0494428313343818, 'meanLosses': 9.0352680672689694}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 6.2803489340638503, 'meanValidationLoss': 6.3047199724544978, 'meanLosses': 6.292534453259174}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 7.6306084828648819, 'meanValidationLoss': 7.6331206756225001, 'meanLosses': 7.6318645792436914}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 5.5026879572643086, 'meanValidationLoss': 5.5356742299400494, 'meanLosses': 5.519181093602179}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 7.5878867389745297, 'meanValidationLoss': 7.589801855562289, 'meanLosses': 7.5888442972684089}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 5.4419091862637128, 'meanValidationLoss': 5.4762048325661548, 'meanLosses': 5.4590570094149342}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 7.8383629838535693, 'meanValidationLoss': 7.842172883787442, 'meanLosses': 7.8402679338205061}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 5.6026494548404262, 'meanValidationLoss': 5.6325963293190338, 'meanLosses': 5.61762289207973}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 6.9638768375457367, 'meanValidationLoss': 6.9585532725050232, 'meanLosses': 6.96121505502538}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 4.9663097600386541, 'meanValidationLoss': 5.0094973215976131, 'meanLosses': 4.9879035408181336}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 6.9208506797850795, 'meanValidationLoss': 6.9150125545449859, 'meanLosses': 6.9179316171650331}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 4.9124349024745442, 'meanValidationLoss': 4.9572627474364586, 'meanLosses': 4.9348488249555018}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 7.1325562851991355, 'meanValidationLoss': 7.1263447545393772, 'meanLosses': 7.1294505198692564}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 5.0714956718106432, 'meanValidationLoss': 5.1111908326768765, 'meanLosses': 5.0913432522437603}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 11.030780449996419, 'meanValidationLoss': 11.177637769760771, 'meanLosses': 11.104209109878596}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 9.5752860376253341, 'meanValidationLoss': 9.7091480469539135, 'meanLosses': 9.642217042289623}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 10.955910951944524, 'meanValidationLoss': 11.10198679324985, 'meanLosses': 11.028948872597187}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 9.542925267230304, 'meanValidationLoss': 9.6763516385558788, 'meanLosses': 9.6096384528930905}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 11.164589959588683, 'meanValidationLoss': 11.315521474591725, 'meanLosses': 11.240055717090204}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 9.6399548240246293, 'meanValidationLoss': 9.7758244051253254, 'meanLosses': 9.7078896145749773}
