,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ALPHA,param_ETA,param_LAMBDA,param_activation,param_epochs,param_hiddenUnits,param_randomSeed,param_weightInitialization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.051569223403930664,0.003834864390620034,0.0003044605255126953,1.012834750773647e-05,0.4,0.1,0.1,sigm,100,4,0,xav,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'xav'}",0.9459459459459459,0.918918918918919,0.9428571428571428,0.9357798165137615,0.012151860669773024,1,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
1,0.07639956474304199,0.0037505051631260395,0.00046332677205403644,9.898120547574529e-06,0.4,0.1,0.1,sigm,100,4,0,type1,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'type1'}",0.918918918918919,0.918918918918919,0.9428571428571428,0.926605504587156,0.011176744150755764,355,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
2,0.06295355161031087,0.009731327665916653,0.0004096825917561849,5.483984359690808e-05,0.4,0.1,0.1,sigm,100,4,0,type2,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'type2'}",0.918918918918919,0.918918918918919,0.9428571428571428,0.926605504587156,0.011176744150755764,355,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
3,0.059792677561442055,0.015271079786208822,0.000400543212890625,8.531943573962295e-05,0.4,0.1,0.1,sigm,100,4,5,xav,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'xav'}",0.918918918918919,0.918918918918919,0.9428571428571428,0.926605504587156,0.011176744150755764,355,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
4,0.06568972269694011,0.008750736694981978,0.0004322528839111328,3.9546352996339926e-05,0.4,0.1,0.1,sigm,100,4,5,type1,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'type1'}",0.9459459459459459,0.918918918918919,0.9428571428571428,0.9357798165137615,0.012151860669773024,1,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
5,0.07260878880818684,0.0026831694567044967,0.00048693021138509113,2.7790739754932207e-05,0.4,0.1,0.1,sigm,100,4,5,type2,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'type2'}",0.9459459459459459,0.918918918918919,0.9428571428571428,0.9357798165137615,0.012151860669773024,1,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
6,0.06286215782165527,0.009683280704158907,0.00040650367736816406,5.6436586902658884e-05,0.4,0.1,0.1,sigm,100,4,10,xav,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'xav'}",0.9459459459459459,0.918918918918919,0.9428571428571428,0.9357798165137615,0.012151860669773024,1,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
7,0.06823062896728516,0.004227253954462933,0.0004436969757080078,4.194044168629388e-05,0.4,0.1,0.1,sigm,100,4,10,type1,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'type1'}",0.9459459459459459,0.918918918918919,0.9428571428571428,0.9357798165137615,0.012151860669773024,1,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
8,0.067198912302653,0.001617201140411841,0.00042208035786946613,6.305959836602965e-06,0.4,0.1,0.1,sigm,100,4,10,type2,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'type2'}",0.9459459459459459,0.918918918918919,0.9428571428571428,0.9357798165137615,0.012151860669773024,1,0.9444444444444444,0.9583333333333334,0.9324324324324325,0.94507007007007,0.010583248475370628
9,0.06966646512349446,0.004721482625575082,0.00045982996622721356,5.5335143695844115e-05,0.4,0.1,0.1,sigm,100,4,20,xav,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 20, 'weightInitialization': 'xav'}",0.9459459459459459,0.918918918918919,0.9142857142857143,0.926605504587156,0.013991558789241786,355,0.9444444444444444,0.9583333333333334,0.9459459459459459,0.9495745745745746,0.006223638696419388
